,complex_name,avg_n_models,max_n_models,num_contacts_with_max_n_models,num_unique_contacts,max_iptm,max_ptm,best_model_num,best_pdockq,best_plddt_avg,best_pae_avg,protID,gene_name,product,locus,vulnerability,membrane,tmr,ipc,dataset
11,ABK70300.1_and_ABK73470.1,4.4,5,55,74,0.51,0.79,4,0.164,82.6,5.3,ABK73470.1,na,conserved hypothetical protein,MSMEG_6274,,G,0,12.106,dnaN
12,ABK70300.1_and_ABK74804.1,4.4,5,211,275,0.76,0.65,4,0.318,84.5,3.9,ABK74804.1,na,"ISMsm6, transposase",MSMEG_1222,0.362,G,0,8.244,dnaN
13,ABK70300.1_and_ABK74021.1,4.4,5,123,171,0.64,0.86,4,0.173,85.2,5.0,ABK74021.1,na,conserved hypothetical protein,MSMEG_3568,,G,0,7.278,dnaN
14,ABK70300.1_and_ABK71941.1,4.3,5,118,156,0.69,0.73,1,0.162,83.5,4.1,ABK71941.1,na,TnpC protein,MSMEG_4127,0.127,G,0,9.048,dnaN
15,ABK70300.1_and_ABK71277.1,4.3,5,158,206,0.85,0.88,2,0.224,87.6,3.4,ABK71277.1,na,beta-glucoside-specific EII permease,MSMEG_2117,0.554,G,0,4.685,dnaN
16,ABK70300.1_and_ABK70492.1,4.3,5,123,164,0.7,0.75,1,0.17,83.6,4.2,ABK70492.1,na,TnpC protein,MSMEG_6654,-0.138,G,0,9.004,dnaN
17,ABK70300.1_and_ABK75910.1,4.3,5,60,76,0.61,0.56,4,0.311,73.5,8.1,ABK75910.1,ruvB,holliday junction DNA helicase RuvB,MSMEG_2945,-1.323,G,0,4.978,dnaN
18,ABK70300.1_and_ABK73772.1,4.3,5,126,171,0.73,0.79,2,0.194,78.4,5.4,ABK73772.1,na,"DNA polymerase III, alpha subunit, putative",MSMEG_1633,-0.135,G,0,5.753,dnaN
19,ABK70300.1_and_ABK71251.1,4.2,5,139,195,0.76,0.68,1,0.167,84.4,4.7,ABK71251.1,recG,ATP-dependent DNA helicase RecG,MSMEG_2403,0.175,G,0,5.563,dnaN
20,ABK70300.1_and_ABK69936.1,4.2,5,183,282,0.69,0.86,2,0.324,79.2,7.6,ABK69936.1,mdcC,malonate decarboxylase acyl carrier protein,MSMEG_6633,0.549,G,0,4.609,dnaN
21,ABK70300.1_and_ABK72102.1,4.2,5,55,86,0.52,0.84,4,0.134,79.7,4.7,ABK72102.1,na,hypothetical protein,MSMEG_6211,-3.613,G,0,4.062,dnaN
22,ABK70300.1_and_ABK70773.1,4.2,5,161,242,0.72,0.77,4,0.264,77.9,4.0,ABK70773.1,na,"transcriptional regulator, ArsR family protein",MSMEG_3497,0.107,G,0,5.448,dnaN
23,ABK70300.1_and_ABK74168.1,4.2,5,165,244,0.66,0.78,2,0.26,80.9,5.4,ABK74168.1,na,glycerol-3-phosphate dehydrogenase 2 [NAD(P)+] (NAD(P)H-dependent glycerol-3-phosphate dehydrogenase 2),MSMEG_1140,0.106,G,0,5.893,dnaN
24,ABK70300.1_and_ABK73412.1,4.2,5,77,115,0.57,0.85,1,0.189,80.4,3.5,ABK73412.1,na,hypothetical protein,MSMEG_1541,-4.839,G,0,6.109,dnaN
25,ABK70300.1_and_ABK71726.1,4.2,5,154,236,0.51,0.81,2,0.173,75.4,9.5,ABK71726.1,na,ferredoxin,MSMEG_5122,-5.292,G,0,3.63,dnaN
26,ABK70300.1_and_ABK74191.1,4.2,5,216,320,0.76,0.83,4,0.338,79.8,4.4,ABK74191.1,na,alkylated DNA repair protein,MSMEG_5451,0.018,G,0,8.214,dnaN
27,ABK70300.1_and_ABK73629.1,4.1,5,78,120,0.54,0.84,3,0.241,79.9,4.5,ABK73629.1,na,hypothetical protein,MSMEG_4607,,G,0,12.018,dnaN
28,ABK70300.1_and_ABK69736.1,4.1,5,116,173,0.71,0.74,3,0.193,81.6,4.5,ABK69736.1,na,TnpC protein,MSMEG_1310,,G,0,9.355,dnaN
29,ABK70300.1_and_ABK69821.1,4.1,5,166,244,0.53,0.75,1,0.244,75.5,7.6,ABK69821.1,na,"transcriptional regulator, IclR family protein",MSMEG_2386,0.17,G,0,9.224,dnaN
30,ABK70300.1_and_ABK73198.1,4.0,5,151,247,0.73,0.77,2,0.25,79.7,6.4,ABK73198.1,na,"ISMsm3, transposase",MSMEG_0237,,G,0,6.898,dnaN
31,ABK70300.1_and_ABK70519.1,4.0,5,152,242,0.51,0.72,2,0.185,75.8,9.7,ABK70519.1,na,conserved hypothetical protein,MSMEG_5843,0.241,G,0,9.765,dnaN
32,ABK70300.1_and_ABK72472.1,4.0,5,178,282,0.68,0.72,1,0.319,80.3,4.6,ABK72472.1,na,"DNA polymerase III, delta subunit",MSMEG_4572,-1.226,G,0,5.474,dnaN
33,ABK70300.1_and_ABK69699.1,4.0,5,153,243,0.73,0.76,3,0.237,84.4,4.8,ABK69699.1,na,"ISMsm3, transposase",MSMEG_6146,,G,0,6.898,dnaN
34,ABK70300.1_and_ABK71875.1,4.0,5,46,74,0.49,0.84,1,0.185,78.5,4.9,ABK71875.1,na,hypothetical protein,MSMEG_6200,0.242,G,0,8.697,dnaN
35,ABK70300.1_and_ABK72718.1,4.0,5,63,125,0.58,0.86,3,0.165,77.9,5.1,ABK72718.1,na,hypothetical protein,MSMEG_2082,1.795,G,0,9.604,dnaN
36,ABK70300.1_and_ABK73377.1,4.0,5,91,155,0.48,0.82,4,0.143,76.6,6.5,ABK73377.1,na,conserved hypothetical protein,MSMEG_4480,-1.631,G,0,5.881,dnaN
37,ABK70300.1_and_ABK74774.1,4.0,5,188,306,0.79,0.68,5,0.292,78.3,4.9,ABK74774.1,dinP,DNA polymerase IV,MSMEG_6443,-0.138,G,0,9.633,dnaN
38,ABK70300.1_and_ABK72773.1,4.0,5,128,221,0.7,0.87,4,0.267,85.6,4.7,ABK72773.1,na,conserved hypothetical protein,MSMEG_1772,-1.037,G,0,8.814,dnaN
39,ABK70300.1_and_ABK74869.1,4.0,5,164,273,0.65,0.81,4,0.34,84.1,4.3,ABK74869.1,na,lipoprotein LpqH,MSMEG_6316,0.525,G,0,4.177,dnaN
40,ABK70300.1_and_ABK73475.1,3.9,5,58,113,0.52,0.85,1,0.175,75.9,5.3,ABK73475.1,na,hypothetical protein,MSMEG_3295,,G,0,10.292,dnaN
41,ABK70300.1_and_ABK76177.1,3.8,5,152,322,0.73,0.83,4,0.332,81.0,5.0,ABK76177.1,pyrG,CTP synthase,MSMEG_3746,-4.961,G,0,5.207,dnaN
42,ABK70300.1_and_ABK73681.1,3.8,5,127,225,0.72,0.67,4,0.179,74.3,5.8,ABK73681.1,na,cobalamin synthesis protein,MSMEG_1123,0.129,G,0,4.889,dnaN
43,ABK70300.1_and_ABK71096.1,3.8,5,133,248,0.52,0.85,3,0.106,73.5,9.3,ABK71096.1,na,conserved domain protein,MSMEG_4822,0.045,G,0,4.266,dnaN
44,ABK70300.1_and_ABK74685.1,3.7,5,114,204,0.61,0.74,2,0.172,80.7,6.7,ABK74685.1,na,hypothetical protein,MSMEG_3893,0.371,M,8,8.083,dnaN
45,ABK70300.1_and_ABK73301.1,3.7,5,155,310,0.79,0.87,2,0.25,80.3,4.5,ABK73301.1,na,conserved hypothetical protein,MSMEG_0223,-0.687,G,0,5.792,dnaN
46,ABK70300.1_and_ABK69894.1,3.7,5,21,62,0.42,0.86,5,0.139,73.6,4.7,ABK69894.1,na,conserved hypothetical protein,MSMEG_3699,0.83,G,0,4.774,dnaN
47,ABK70300.1_and_ABK75095.1,3.7,5,85,185,0.48,0.85,4,0.098,67.9,10.5,ABK75095.1,na,conserved hypothetical protein,MSMEG_5154,-0.435,G,0,4.558,dnaN
48,ABK70300.1_and_ABK73716.1,3.7,5,119,232,0.7,0.82,2,0.175,81.3,5.2,ABK73716.1,na,HicB family protein,MSMEG_5186,0.229,G,0,5.194,dnaN
49,ABK70300.1_and_ABK72010.1,3.7,5,105,229,0.75,0.84,1,0.171,82.4,4.2,ABK72010.1,na,sulfate/thiosulfate import ATP-binding protein CysA,MSMEG_4520,0.197,G,0,5.703,dnaN
50,ABK70300.1_and_ABK72366.1,3.6,5,89,202,0.43,0.84,2,0.082,69.8,9.6,ABK72366.1,na,rubredoxin,MSMEG_1840,0.004,G,0,4.012,dnaN
51,ABK70300.1_and_ABK73210.1,3.6,5,23,50,0.48,0.6,1,0.221,71.4,7.7,ABK73210.1,na,cell division control protein Cdc48,MSMEG_0858,0.383,G,0,4.749,dnaN
52,ABK70300.1_and_ABK75606.1,3.6,5,49,87,0.52,0.61,4,0.144,74.2,8.2,ABK75606.1,na,conserved hypothetical protein,MSMEG_3229,-0.232,M,3,4.406,dnaN
53,ABK70300.1_and_ABK74620.1,3.6,5,62,137,0.67,0.66,3,0.35,76.5,8.0,ABK74620.1,na,conserved hypothetical protein,MSMEG_5225,-0.109,G,0,4.38,dnaN
54,ABK70300.1_and_ABK76017.1,3.6,5,109,273,0.76,0.56,4,0.347,74.9,8.4,ABK76017.1,na,DNA polymerase IV 1,MSMEG_3172,0.453,G,0,5.626,dnaN
55,ABK70300.1_and_ABK74628.1,3.5,5,116,282,0.54,0.74,4,0.26,74.5,12.1,ABK74628.1,na,histone deacetylase superfamily protein,MSMEG_0171,0.251,G,0,4.774,dnaN
56,ABK70300.1_and_ABK75833.1,3.5,5,53,131,0.55,0.79,2,0.208,77.8,4.9,ABK75833.1,na,hypothetical protein,MSMEG_3968,-6.314,G,0,11.535,dnaN
57,ABK70300.1_and_ABK76178.1,3.5,5,96,255,0.72,0.81,2,0.138,82.8,5.2,ABK76178.1,era,GTP-binding protein Era,MSMEG_4493,-1.231,G,0,5.626,dnaN
58,ABK70300.1_and_ABK73517.1,3.5,4,115,154,0.86,0.84,4,0.171,91.8,2.5,ABK73517.1,na,Mov34/MPN/PAD-1 family protein,MSMEG_4907,0.745,G,0,4.418,dnaN
59,ABK70300.1_and_ABK70753.1,3.5,5,149,361,0.56,0.76,5,0.209,74.5,8.5,ABK70753.1,na,conserved hypothetical protein,MSMEG_1976,0.027,G,0,4.927,dnaN
60,ABK70300.1_and_ABK71756.1,3.5,5,123,290,0.49,0.66,2,0.163,78.0,12.7,ABK71756.1,na,cupin domain protein,MSMEG_4441,0.289,G,0,4.991,dnaN
61,ABK70300.1_and_ABK74652.1,3.5,5,138,280,0.74,0.5,1,0.246,75.4,5.5,ABK74652.1,na,"IS1549, transposase",MSMEG_1865,,G,0,8.551,dnaN
62,ABK70300.1_and_ABK73059.1,3.5,4,52,76,0.66,0.61,2,0.368,76.9,7.5,ABK73059.1,na,conserved hypothetical protein,MSMEG_1891,0.643,G,0,5.219,dnaN
63,ABK70300.1_and_ABK74786.1,3.5,5,119,279,0.73,0.5,2,0.252,73.3,6.8,ABK74786.1,na,"IS1549, transposase",MSMEG_2824,,G,0,8.551,dnaN
64,ABK70300.1_and_ABK75564.1,3.4,5,32,69,0.44,0.79,1,0.129,74.9,5.2,ABK75564.1,na,ATP-binding protein,MSMEG_1934,0.509,G,0,4.685,dnaN
65,ABK70300.1_and_ABK71766.1,3.4,5,128,277,0.72,0.51,1,0.243,74.2,6.0,ABK71766.1,na,"IS1549, transposase",MSMEG_3433,,G,0,8.551,dnaN
66,ABK70300.1_and_ABK72006.1,3.4,4,154,219,0.76,0.87,5,0.229,80.2,3.7,ABK72006.1,na,alkylphosphonate uptake protein,MSMEG_1302,0.258,G,0,4.495,dnaN
67,ABK70300.1_and_ABK75162.1,3.4,4,165,232,0.68,0.85,2,0.304,80.1,8.8,ABK75162.1,na,ethyl tert-butyl ether degradation EthD,MSMEG_2953,-6.414,G,0,4.444,dnaN
68,ABK70300.1_and_ABK71768.1,3.4,5,100,261,0.51,0.84,5,0.105,70.4,10.3,ABK71768.1,na,conserved domain protein,MSMEG_4802,0.337,G,0,4.24,dnaN
69,ABK70300.1_and_ABK72721.1,3.4,5,116,325,0.74,0.86,3,0.299,85.3,3.4,ABK72721.1,hypC,hydrogenase assembly chaperone HypC/HupF,MSMEG_2712,0.6,G,0,4.711,dnaN
70,ABK70300.1_and_ABK71150.1,3.3,5,21,95,0.47,0.82,2,0.134,70.6,6.8,ABK71150.1,na,hypothetical protein,MSMEG_2226,-6.102,G,0,8.2,dnaN
71,ABK70300.1_and_ABK71140.1,3.3,5,28,125,0.47,0.85,3,0.138,76.1,5.4,ABK71140.1,na,hypothetical protein,MSMEG_3453,0.038,G,0,11.623,dnaN
72,ABK70300.1_and_ABK74615.1,3.3,5,33,144,0.59,0.85,4,0.236,79.1,4.6,ABK74615.1,na,hypothetical protein,MSMEG_6841,0.732,G,0,11.74,dnaN
73,ABK70300.1_and_ABK76126.1,3.3,4,191,292,0.67,0.54,3,0.261,79.4,6.4,ABK76126.1,na,conserved hypothetical protein,MSMEG_0370,0.101,G,0,4.965,dnaN
74,ABK70300.1_and_ABK70161.1,3.3,5,50,194,0.61,0.45,3,0.157,76.6,7.0,ABK70161.1,na,conserved hypothetical protein,MSMEG_5002,0.051,G,0,5.092,dnaN
75,ABK70300.1_and_ABK70788.1,3.3,5,41,104,0.51,0.73,2,0.213,80.9,5.2,ABK70788.1,na,conserved hypothetical protein,MSMEG_4399,1.307,G,0,5.27,dnaN
76,ABK70300.1_and_ABK75688.1,3.3,5,21,67,0.37,0.56,2,0.087,72.3,9.3,ABK75688.1,na,"preprotein translocase, SecY subunit",MSMEG_1483,-11.269,M,10,8.96,dnaN
77,ABK70300.1_and_ABK75521.1,3.3,5,120,293,0.73,0.51,1,0.243,74.2,6.1,ABK75521.1,na,"IS1549, transposase",MSMEG_5181,,G,0,8.551,dnaN
78,ABK70300.1_and_ABK72901.1,3.3,5,25,202,0.43,0.79,2,0.139,75.9,6.4,ABK72901.1,na,hypothetical protein,MSMEG_6447,0.841,G,0,4.774,dnaN
79,ABK70300.1_and_ABK71724.1,3.3,5,22,86,0.64,0.64,5,0.294,71.4,5.8,ABK71724.1,na,DNA polymerase I,MSMEG_3839,-0.722,G,0,4.838,dnaN
80,ABK70300.1_and_ABK71650.1,3.3,5,29,246,0.41,0.74,2,0.162,72.9,10.8,ABK71650.1,na,conserved hypothetical protein,MSMEG_6428,0.783,G,0,4.762,dnaN
81,ABK70300.1_and_ABK70495.1,3.3,4,115,161,0.64,0.72,3,0.206,81.6,4.7,ABK70495.1,na,conserved hypothetical protein,MSMEG_2753,0.421,M,2,8.858,dnaN
82,ABK70300.1_and_ABK74418.1,3.3,5,123,306,0.74,0.54,3,0.249,78.2,5.6,ABK74418.1,na,"IS1549, transposase",MSMEG_0074,,G,0,8.551,dnaN
83,ABK70300.1_and_ABK74040.1,3.3,5,12,66,0.39,0.85,3,0.257,76.1,7.3,ABK74040.1,na,hypothetical protein,MSMEG_3539,0.903,G,0,9.458,dnaN
84,ABK70300.1_and_ABK75423.1,3.2,5,82,270,0.71,0.85,2,0.175,82.5,5.2,ABK75423.1,rpsH,ribosomal protein S8,MSMEG_1469,-7.964,G,0,9.97,dnaN
85,ABK70300.1_and_ABK74221.1,3.2,4,52,88,0.52,0.85,3,0.201,82.2,4.9,ABK74221.1,na,hypothetical protein,MSMEG_2759,0.545,G,0,5.258,dnaN
86,ABK70300.1_and_ABK72344.1,3.2,4,53,94,0.64,0.75,1,0.177,91.5,4.6,ABK72344.1,na,putative transcriptional regulator,MSMEG_2583,0.022,G,0,10.145,dnaN
87,ABK70300.1_and_ABK71984.1,3.2,5,104,300,0.6,0.85,3,0.158,77.0,7.6,ABK71984.1,na,conserved domain protein,MSMEG_0761,-0.881,G,0,3.872,dnaN
88,ABK70300.1_and_ABK70271.1,3.2,4,54,88,0.66,0.55,4,0.198,71.4,9.3,ABK70271.1,rocD,ornithine--oxo-acid transaminase,MSMEG_1413,-0.133,G,0,5.385,dnaN
89,ABK70300.1_and_ABK73297.1,3.1,5,53,194,0.67,0.55,3,0.306,80.6,5.6,ABK73297.1,na,conserved hypothetical protein,MSMEG_5468,-1.279,M,3,4.304,dnaN
90,ABK70300.1_and_ABK71908.1,3.1,5,77,258,0.6,0.83,1,0.224,74.6,13.5,ABK71908.1,glcB,malate synthase G,MSMEG_3640,-0.339,G,0,4.609,dnaN
91,ABK70300.1_and_ABK70926.1,3.1,5,68,269,0.71,0.67,1,0.293,75.8,7.8,ABK70926.1,na,"permease for cytosine/purines, uracil, thiamine,allantoin transporter",MSMEG_5730,0.216,M,12,5.588,dnaN
92,ABK70300.1_and_ABK75122.1,3.1,5,22,118,0.52,0.53,5,0.303,73.3,8.4,ABK75122.1,na,S-(hydroxymethyl)glutathione dehydrogenase/classIII alcohol dehydrogenase,MSMEG_3388,0.176,G,0,5.347,dnaN
93,ABK70300.1_and_ABK73710.1,3.1,5,79,260,0.38,0.79,2,0.14,71.9,11.6,ABK73710.1,acpP,acyl carrier protein,MSMEG_4326,0.091,G,0,3.783,dnaN
94,ABK70300.1_and_ABK69628.1,3.1,5,137,298,0.68,0.73,3,0.335,80.0,7.5,ABK69628.1,na,conserved hypothetical protein,MSMEG_1247,0.28,G,0,5.118,dnaN
95,ABK70300.1_and_ABK72147.1,3.1,5,24,266,0.59,0.56,4,0.22,78.7,8.2,ABK72147.1,na,DNA polymerase III gamma/tau subunit,MSMEG_6285,-5.013,G,0,5.029,dnaN
96,ABK70300.1_and_ABK74771.1,3.1,5,69,229,0.35,0.78,2,0.087,74.9,10.2,ABK74771.1,na,ATP-dependent Clp protease adaptor protein ClpS,MSMEG_4910,0.46,G,0,5.092,dnaN
97,ABK70300.1_and_ABK72654.1,3.1,5,52,227,0.5,0.71,1,0.182,74.3,14.1,ABK72654.1,na,DNA-binding response regulator,MSMEG_4990,0.003,G,0,5.054,dnaN
98,ABK70300.1_and_ABK74894.1,3.1,5,29,104,0.37,0.74,4,0.128,68.0,9.2,ABK74894.1,na,conserved hypothetical protein,MSMEG_5889,-0.019,G,0,4.279,dnaN
99,ABK70300.1_and_ABK74865.1,3.1,5,46,116,0.62,0.52,1,0.444,76.9,7.0,ABK74865.1,purT,phosphoribosylglycinamide formyltransferase 2,MSMEG_0766,0.125,G,0,4.317,dnaN
100,ABK70300.1_and_ABK75116.1,3.1,5,79,287,0.86,0.9,5,0.268,88.7,3.6,ABK75116.1,na,conserved domain protein,MSMEG_2559,-3.577,G,0,4.673,dnaN
101,ABK70300.1_and_ABK71790.1,3.0,4,20,52,0.42,0.84,2,0.137,71.6,6.0,ABK71790.1,na,hypothetical protein,MSMEG_2222,,G,0,11.359,dnaN
102,ABK70300.1_and_ABK70398.1,3.0,4,70,110,0.58,0.84,4,0.177,80.3,4.1,ABK70398.1,na,hypothetical protein,MSMEG_4052,1.311,G,0,8.331,dnaN
103,ABK70300.1_and_ABK69729.1,3.0,3,25,26,0.46,0.53,2,0.342,70.6,10.2,ABK69729.1,na,major facilitator superfamily protein transporter,MSMEG_6775,0.008,M,12,9.136,dnaN
104,ABK70300.1_and_ABK76097.1,3.0,5,70,307,0.66,0.55,1,0.409,72.7,6.9,ABK76097.1,na,putative DNA repair polymerase,MSMEG_1622,0.158,G,0,5.728,dnaN
105,ABK70300.1_and_ABK74261.1,3.0,5,33,121,0.64,0.86,4,0.193,83.0,3.7,ABK74261.1,na,hypothetical protein,MSMEG_4223,,G,0,11.242,dnaN
106,ABK70300.1_and_ABK72119.1,3.0,5,3,101,0.44,0.75,4,0.097,75.2,7.9,ABK72119.1,na,hypothetical protein,MSMEG_5333,0.036,G,0,3.21,dnaN
107,ABK70300.1_and_ABK74107.1,3.0,5,79,308,0.61,0.85,3,0.198,79.5,6.9,ABK74107.1,na,conserved domain protein,MSMEG_4151,-0.853,G,0,4.342,dnaN
108,ABK70300.1_and_ABK74390.1,3.0,5,70,224,0.62,0.69,4,0.198,68.8,9.1,ABK74390.1,na,LAO/AO transport system ATPase,MSMEG_4869,-0.175,G,0,5.359,dnaN
109,ABK70300.1_and_ABK71398.1,3.0,5,59,235,0.37,0.7,3,0.118,74.0,11.2,ABK71398.1,na,"glycosyl transferase, group 2 family protein",MSMEG_1097,0.096,G,0,4.558,dnaN
110,ABK70300.1_and_ABK75344.1,3.0,4,53,117,0.61,0.56,3,0.371,69.1,12.1,ABK75344.1,na,DNA polymerase III subunit epsilon,MSMEG_6275,0.347,G,0,4.914,dnaN
111,ABK70300.1_and_ABK72963.1,3.0,5,30,123,0.52,0.86,1,0.222,79.8,4.1,ABK72963.1,na,hypothetical protein,MSMEG_5293,,G,0,11.901,dnaN
112,ABK70300.1_and_ABK72929.1,3.0,5,45,162,0.37,0.77,4,0.117,64.9,12.2,ABK72929.1,na,"conserved protein, DUF59",MSMEG_3127,0.717,G,0,3.795,dnaN
113,ABK70300.1_and_ABK71072.1,3.0,5,73,257,0.42,0.77,2,0.179,72.5,8.7,ABK71072.1,na,hypothetical protein,MSMEG_0598,-1.953,G,0,4.546,dnaN
114,ABK70300.1_and_ABK73601.1,3.0,4,139,259,0.58,0.63,1,0.148,75.9,8.0,ABK73601.1,na,putative two-component system sensor kinase,MSMEG_6238,-0.106,G,0,5.664,dnaN
115,ABK70300.1_and_ABK75602.1,2.9,5,31,142,0.3,0.64,4,0.208,68.7,14.2,ABK75602.1,na,kumamolisin,MSMEG_1617,0.131,G,0,4.635,dnaN
116,ABK70300.1_and_ABK75080.1,2.9,5,2,103,0.34,0.72,3,0.08,72.7,9.8,ABK75080.1,na,probable conserved transmembrane protein,MSMEG_4237,-2.197,M,2,11.184,dnaN
117,ABK70300.1_and_ABK73844.1,2.9,5,62,191,0.7,0.68,2,0.274,78.5,6.4,ABK73844.1,na,conserved hypothetical protein,MSMEG_4923,0.844,G,0,5.041,dnaN
118,ABK70300.1_and_ABK74962.1,2.9,5,12,44,0.25,0.6,2,0.129,68.2,11.7,ABK74962.1,na,"prenyltransferase, UbiA family protein",MSMEG_6401,-7.328,M,9,6.071,dnaN
119,ABK70300.1_and_ABK74372.1,2.9,4,94,192,0.43,0.81,2,0.084,72.3,13.4,ABK74372.1,na,conserved hypothetical protein,MSMEG_5666,-1.379,G,0,4.851,dnaN
120,ABK70300.1_and_ABK73002.1,2.9,5,22,214,0.44,0.75,4,0.083,74.1,14.5,ABK73002.1,na,conserved hypothetical protein,MSMEG_3026,-2.311,G,0,9.326,dnaN
121,ABK70300.1_and_ABK73680.1,2.9,5,36,298,0.66,0.81,4,0.315,86.8,4.2,ABK73680.1,na,"serine esterase, cutinase family protein",MSMEG_5878,0.422,G,0,4.253,dnaN
122,ABK70300.1_and_ABK75775.1,2.9,5,35,211,0.39,0.82,5,0.08,69.8,14.3,ABK75775.1,na,conserved domain protein,MSMEG_4819,-1.424,G,0,4.177,dnaN
123,ABK70300.1_and_ABK75625.1,2.9,5,65,284,0.37,0.67,3,0.166,75.9,10.8,ABK75625.1,na,morphine 6-dehydrogenase,MSMEG_2407,0.154,G,0,4.457,dnaN
124,ABK70300.1_and_ABK75608.1,2.9,5,79,339,0.61,0.8,2,0.188,78.6,6.8,ABK75608.1,na,"glutamate synthase, small subunit",MSMEG_6458,-0.576,G,0,5.588,dnaN
125,ABK70300.1_and_ABK73557.1,2.9,5,52,217,0.27,0.7,5,0.248,71.1,12.7,ABK73557.1,na,LpqJ protein,MSMEG_0704,0.345,G,0,8.097,dnaN
126,ABK70300.1_and_ABK69930.1,2.9,5,45,146,0.57,0.74,2,0.185,76.8,5.5,ABK69930.1,na,hypothetical protein,MSMEG_0987,0.561,M,2,10.452,dnaN
127,ABK70300.1_and_ABK75706.1,2.9,4,32,75,0.56,0.51,1,0.267,71.7,9.7,ABK75706.1,na,"AAA ATPase, central region",MSMEG_3021,0.352,G,0,5.817,dnaN
128,ABK70300.1_and_ABK75843.1,2.8,4,203,375,0.73,0.85,4,0.334,78.1,6.2,ABK75843.1,na,hypothetical protein,MSMEG_0757,0.022,G,0,8.317,dnaN
129,ABK70300.1_and_ABK74257.1,2.8,3,177,208,0.84,0.88,1,0.288,89.7,2.6,ABK74257.1,xth,exodeoxyribonuclease III,MSMEG_0829,0.505,G,0,4.94,dnaN
130,ABK70300.1_and_ABK73401.1,2.8,5,30,145,0.51,0.83,4,0.185,78.6,4.5,ABK73401.1,na,hypothetical protein,MSMEG_5749,1.456,G,0,11.959,dnaN
131,ABK70300.1_and_ABK75189.1,2.8,5,31,185,0.43,0.76,3,0.097,73.6,13.3,ABK75189.1,na,conserved hypothetical protein,MSMEG_4698,0.441,G,0,5.944,dnaN
132,ABK70300.1_and_ABK71131.1,2.8,4,92,216,0.66,0.74,1,0.185,79.4,6.8,ABK71131.1,na,non-heme bromoperoxidase BPO-A2,MSMEG_4707,0.399,G,0,4.774,dnaN
133,ABK70300.1_and_ABK70829.1,2.8,5,10,73,0.48,0.86,4,0.204,77.6,5.2,ABK70829.1,na,hypothetical protein,MSMEG_3716,,G,0,4.342,dnaN
134,ABK70300.1_and_ABK73451.1,2.8,5,29,142,0.36,0.68,4,0.18,72.4,12.0,ABK73451.1,ehuC,"ectoine/hydroxyectoine ABC transporter, permeaseprotein EhuC",MSMEG_3548,1.036,M,5,11.199,dnaN
135,ABK70300.1_and_ABK75781.1,2.8,4,93,200,0.55,0.59,4,0.131,71.8,11.4,ABK75781.1,na,putative DNA-binding protein,MSMEG_6290,0.287,G,0,5.219,dnaN
136,ABK70300.1_and_ABK71557.1,2.8,4,169,356,0.62,0.8,1,0.218,77.7,7.7,ABK71557.1,na,"glutamate synthase, NADH/nadph, small subunit",MSMEG_3226,-0.239,G,0,5.13,dnaN
